"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.italica orthologs","S.viridis orthologs"
"S.bicolor","Sobic.001G142900",NA,"Fe,Mn,Co,Cd,Zn",NA,NA,NA,NA,"Inferred","AT4G19690","AT1G31260,AT4G19690","Medtr8g105030","LOC_Os03g46470","","GRMZM2G115190","Glyma.02G126000","Potri.010G134300,Potri.010G135400","Seita.9G146200","Sevir.9G144800"
"S.bicolor","Sobic.001G156800",NA,"Fe,Mn,Co,Cd,Zn",NA,NA,NA,NA,"Inferred","AT4G19690","AT1G31260,AT4G19690","Medtr8g105030","LOC_Os03g46470","","GRMZM2G115190","Glyma.02G126000","Potri.010G134300,Potri.010G135400","Seita.9G146200","Sevir.9G144800"
"S.bicolor","Sobic.009G029600",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AT4G23100","AT4G23100","Medtr8g098350","LOC_Os05g03820,LOC_Os07g27790","Traes_1BS_D3FD8CC9D","GRMZM2G111579","Glyma.05G207600,Glyma.08G014300","Potri.001G104500,Potri.003G126900","Seita.3G050000","Sevir.3G050100"
"S.bicolor","Sobic.001G384300",NA,"P",NA,NA,NA,NA,"Inferred","AT4G28610,LOC_Os03g21240,Traes_4AS_7220D33B3","AT2G20400,AT4G28610","","LOC_Os03g21240","Traes_4AS_7220D33B3,Traes_4DL_2C27C34AF","GRMZM2G006477","Glyma.03G166400,Glyma.10G039700,Glyma.13G126200,Glyma.19G167500","Potri.002G257800,Potri.013G048000,Potri.019G020900","Seita.9G416300","Sevir.9G420400"
"S.bicolor","Sobic.002G121600",NA,"P",NA,NA,NA,NA,"Inferred","AT4G28610","AT2G20400,AT4G28610","Medtr7g098250","LOC_Os07g25710","Traes_3AS_6EEB8D2B2,Traes_3B_6780F56DD,Traes_3DS_0E0A747A1","GRMZM2G162409","Glyma.03G166400,Glyma.10G039700,Glyma.13G126200,Glyma.19G167500","","Seita.2G118400","Sevir.2G125000"
"S.bicolor","Sobic.003G196400",NA,"K",NA,NA,NA,NA,"Inferred","AT4G33000","AT4G33000","Medtr1g016430","LOC_Os01g39770","Traes_3AL_8456B7FB8,Traes_3B_A9E5C3905","GRMZM2G116584","Glyma.07G010800,Glyma.08G194000","Potri.006G230200","Seita.5G259100","Sevir.5G210300"
"S.bicolor","Sobic.010G240500",NA,"Zn",NA,NA,NA,NA,"Inferred","AT4G37270","AT4G37270","Medtr4g094985","LOC_Os06g47550","Traes_7BL_041308E74","GRMZM2G067853","Glyma.05G098800,Glyma.17G166800","Potri.007G049000","Seita.4G253000","Sevir.4G265200"
"S.bicolor","Sobic.003G167500",NA,"Na,K,Rb",NA,NA,NA,NA,"Inferred","AT5G02600","AT5G02600","Medtr1g067560,Medtr7g100450","LOC_Os01g74490","Traes_3AL_F0F9F0D72,Traes_3B_DF8816636","GRMZM2G096008","Glyma.10G045700,Glyma.13G133600","Potri.006G213900,Potri.016G080400","Seita.5G168600","Sevir.5G168600"
"S.bicolor","Sobic.001G308800",NA,"As,P",NA,NA,NA,NA,"Inferred","AT5G03455","AT5G03455","Medtr7g102310","","Traes_1DL_74A35C8D0","GRMZM2G011520","Glyma.19G185200","Potri.006G122700","Seita.9G337000","Sevir.9G340600"
"S.bicolor","Sobic.001G538600",NA,"As,P",NA,NA,NA,NA,"Inferred","AT5G03455","AT5G03455","Medtr7g102310","LOC_Os03g01770","","","Glyma.19G185200","Potri.006G122700","Seita.9G574100","Sevir.9G577800"
"S.bicolor","Sobic.001G095000",NA,"Mg",NA,NA,NA,NA,"Inferred","AT5G09690","AT5G09690,AT5G64560","Medtr1g076210,Medtr1g093280","LOC_Os03g53110","Traes_5BL_6BA3078D9","GRMZM2G159295","Glyma.10G180200,Glyma.20G210300","Potri.008G161400,Potri.010G077900","Seita.9G097500","Sevir.9G095800"
"S.bicolor","Sobic.005G024700",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","LOC_Os11g04030,LOC_Os12g03860","Traes_5AL_37BFFFD9E,Traes_5DL_D338FB08C","GRMZM5G877788","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","Potri.006G026200,Potri.008G010600,Potri.009G021700,Potri.016G024400","Seita.8G020600","Sevir.8G023200"
"S.bicolor","Sobic.005G024800",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740,LOC_Os12g03899","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","LOC_Os11g04104,LOC_Os12g03899","Traes_4BS_1DCF82CB7","GRMZM2G336448","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","Potri.006G026200,Potri.008G010600,Potri.009G021700,Potri.016G024400","Seita.7G312300,Seita.8G020800","Sevir.7G322400,Sevir.8G023400"
"S.bicolor","Sobic.005G024900",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","","","GRMZM2G141081","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","Potri.006G026200,Potri.008G010600,Potri.009G021700,Potri.016G024400","",""
"S.bicolor","Sobic.005G097900",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","","","","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","","Seita.8G070700","Sevir.8G071400"
"S.bicolor","Sobic.008G015700",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","","","","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","Potri.006G026200,Potri.008G010600,Potri.009G021700,Potri.016G024400","",""
"S.bicolor","Sobic.008G015800",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","","Traes_4AL_91C75CD5F,Traes_4DS_E99B50387,Traes_4DS_E99B503871","","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","Potri.006G026200,Potri.008G010600,Potri.009G021700,Potri.016G024400","Seita.7G312500",""
"S.bicolor","Sobic.008G084800",NA,"Zn,Fe",NA,NA,NA,NA,"Inferred","AT5G13740","AT5G13740,AT5G13750","Medtr3g010820,Medtr3g010850,Medtr3g086440,Medtr8g042770,Medtr8g042780,Medtr8g042870,Medtr8g062990","LOC_Os11g04020,LOC_Os12g03830","Traes_4AL_65E56F6F9,Traes_4BS_95007B0FF,Traes_4DS_BB4FCE298,Traes_5AL_9AA8A9036","","Glyma.04G124800,Glyma.06G313500,Glyma.06G313600,Glyma.06G313700,Glyma.13G186400,Glyma.13G186500,Glyma.13G186600,Glyma.13G186700,Glyma.15G224200","","Seita.3G089200","Sevir.3G091300"
"S.bicolor","Sobic.001G083800",NA,"Ca,Mg",NA,NA,NA,NA,"Inferred","AT5G15410","AT5G15410","Medtr7g012260","LOC_Os03g55100","Traes_5BL_F6419E9D0","GRMZM2G074317","Glyma.08G241600,Glyma.18G263900","Potri.017G089800,Potri.017G089900","Seita.9G085500","Sevir.9G083800"
"S.bicolor","Sobic.004G013600",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT5G17290","AT5G17290","Medtr5g076920","LOC_Os02g02570","Traes_6AS_71E2F7AA0,Traes_6AS_D63283162,Traes_6BS_0C41C87D1","GRMZM2G098420","Glyma.02G240700,Glyma.14G210200","Potri.017G139700","Seita.1G112300","Sevir.1G112000"
"S.bicolor","Sobic.009G135000",NA,"Cu",NA,NA,NA,NA,"Inferred","AT5G18830","AT5G18830","Medtr2g020620","LOC_Os05g33810","Traes_1AL_C921492AA,Traes_1BL_8709BB152,Traes_1DL_93BCED372","GRMZM2G109354","Glyma.13G213400,Glyma.15G099400","Potri.008G197000,Potri.010G026200","Seita.3G246000","Sevir.3G251900"
"S.bicolor","Sobic.001G353200",NA,"Cu",NA,NA,NA,NA,"Inferred","AT5G20650","AT5G20650","Medtr1g015000,Medtr3g105330","LOC_Os09g26900","","","Glyma.04G057000,Glyma.06G057400,Glyma.14G107100,Glyma.17G219400","Potri.006G219200","Seita.2G218500","Sevir.2G228000"
"S.bicolor","Sobic.002G215800",NA,"Cu",NA,NA,NA,NA,"Inferred","AT5G20650","AT5G20650","Medtr1g015000,Medtr3g105330","LOC_Os09g26900","","GRMZM2G003179","Glyma.04G057000,Glyma.06G057400,Glyma.14G107100,Glyma.17G219400","Potri.006G219200","",""
"S.bicolor","Sobic.010G186300",NA,"Na",NA,NA,NA,NA,"Inferred","AT5G35410","AT5G35410","Medtr4g114670","LOC_Os06g40370","Traes_7DL_85630E21D","GRMZM2G137569","Glyma.13G166100,Glyma.17G113700","Potri.006G068400,Potri.018G130500","Seita.4G221700","Sevir.4G231900"
"S.bicolor","Sobic.003G439100",NA,"Fe",NA,NA,NA,NA,"Inferred","AT5G42130","AT5G42130","Medtr6g034515","LOC_Os01g73420","","GRMZM2G047457","Glyma.02G084300","Potri.005G189600","Seita.5G464300","Sevir.5G470600"
"S.bicolor","Sobic.003G024200",NA,"Zn,Cd,As",NA,NA,NA,NA,"Inferred","AT5G44070,LOC_Os06g01260","AT1G03980,AT5G44070","Medtr7g097190","LOC_Os06g01260","Traes_4DL_A6F0CFF85","GRMZM2G091228","Glyma.03G165000,Glyma.19G166400","Potri.014G195800,Potri.014G195900","Seita.5G146200","Sevir.5G144700"
"S.bicolor","Sobic.003G024300",NA,"Zn,Cd,As",NA,NA,NA,NA,"Inferred","AT5G44070","AT1G03980,AT5G44070","Medtr7g097190","","Traes_4DL_A6F0CFF85","","Glyma.03G165000,Glyma.19G166400","Potri.014G195800,Potri.014G195900","",""
"S.bicolor","Sobic.004G113300",NA,"Pb",NA,NA,NA,NA,"Inferred","AT5G53130","AT5G53130","Medtr1g028370,Medtr3g091080","","","","Glyma.04G237400,Glyma.06G126600,Glyma.14G161600","Potri.012G002200,Potri.015G019100","",""
"S.bicolor","Sobic.004G113400",NA,"Pb",NA,NA,NA,NA,"Inferred","AT5G53130","AT5G53130","Medtr1g028370,Medtr3g091080","","","GRMZM2G148118","Glyma.04G237400,Glyma.06G126600,Glyma.14G161600","Potri.012G002200,Potri.015G019100","Seita.1G014200","Sevir.1G014200"
"S.bicolor","Sobic.010G153700",NA,"Pb",NA,NA,NA,NA,"Inferred","AT5G53130","AT5G53130","Medtr1g028370,Medtr3g091080","LOC_Os06g33570","Traes_7AL_73C8ED75D,Traes_7DL_EF8A95CB3","","Glyma.04G237400,Glyma.06G126600,Glyma.14G161600","Potri.012G002200,Potri.015G019100","Seita.4G168400","Sevir.4G136300"
"S.bicolor","Sobic.006G164200",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","AT5G53550,LOC_Os04g45860","AT5G24380,AT5G53550","Medtr0312s0020,Medtr1g007540,Medtr1g007580,Medtr3g092090","LOC_Os04g45860","Traes_2AL_CFCA01C76,Traes_2DL_131222AE2","GRMZM2G051179","Glyma.04G231900,Glyma.06G133000,Glyma.17G191300","Potri.012G024700","Seita.7G185000","Sevir.7G195100"
"S.bicolor","Sobic.006G164300",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","AT5G53550,LOC_Os04g45900","AT5G24380,AT5G53550","Medtr0312s0020,Medtr1g007540,Medtr1g007580,Medtr3g092090","LOC_Os04g45900","","GRMZM2G026391","Glyma.04G231900,Glyma.06G133000,Glyma.17G191300","Potri.012G024700","Seita.7G185100","Sevir.7G195200"
"S.bicolor","Sobic.002G329300",NA,"Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT5G54680","AT1G51070,AT5G54680","","LOC_Os07g35870","Traes_2AS_FE9AC4EDD,Traes_2BS_7190FAD1A","GRMZM2G058451","","Potri.001G416600,Potri.011G132400","Seita.2G342600","Sevir.2G352900"
"S.bicolor","Sobic.007G033800",NA,"Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT5G54680,LOC_Os08g04390","AT1G51070,AT5G54680","Medtr2g082640,Medtr4g081370","LOC_Os08g04390","Traes_7DL_88B60203A","GRMZM2G093744","Glyma.06G266800,Glyma.12G136300,Glyma.12G214900,Glyma.13G286700,Glyma.13G305500,Glyma.15G063000","Potri.004G031800,Potri.011G031000","Seita.6G069500","Sevir.6G068300"
"S.bicolor","Sobic.007G032000",NA,"Cd",NA,NA,NA,NA,"Inferred","AT5G54810","AT4G27070,AT5G54810","Medtr3g049410,Medtr3g051120","LOC_Os08g04180","Traes_7AL_7C0CB1D06","GRMZM2G169593","Glyma.08G312300,Glyma.18G102800","Potri.001G420300,Potri.011G136000","Seita.6G072900","Sevir.6G072000"
"S.bicolor","Sobic.007G092300",NA,"Li,B,Na,Mg,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Mo,Cd",NA,NA,NA,NA,"Inferred","AT5G57620","AT5G57620","Medtr4g128670","LOC_Os08g15020","Traes_1AL_50CECDF43,Traes_1BL_02507996C","GRMZM2G011422","","","Seita.6G097100","Sevir.6G105000"
"S.bicolor","Sobic.003G310200",NA,"Cu",NA,NA,NA,NA,"Inferred","AT5G59030","AT2G26975,AT2G37925,AT3G46900,AT5G59030,AT5G59040","Medtr4g064963,Medtr4g065123,Medtr4g065660,Medtr7g066070","LOC_Os01g56420,LOC_Os05g35050","Traes_3B_6A81EC186","GRMZM2G042412","Glyma.01G106700,Glyma.07G141200,Glyma.07G141600,Glyma.11G134700,Glyma.18G191300,Glyma.18G191900","Potri.001G246000,Potri.006G093300,Potri.009G038700,Potri.009G038800","Seita.5G333000","Sevir.5G337200,Sevir.5G337400"
"S.bicolor","Sobic.003G402900",NA,"K",NA,NA,NA,NA,"Inferred","AT5G64930","AT5G64930","Medtr3g094760","LOC_Os01g68970","Traes_3AL_2600CE5A9,Traes_3DL_738EEB08B","GRMZM2G032447","Glyma.06G145800","Potri.005G083600,Potri.007G082100","Seita.5G428700","Sevir.5G434600"
"S.bicolor","Sobic.004G312100",NA,"K",NA,NA,NA,NA,"Inferred","AT5G64930","AT5G64930","Medtr3g094760","LOC_Os02g53070","Traes_6AL_E7EC461BD,Traes_6BL_D2DF38E7B,Traes_6DL_E3552E85E","GRMZM2G158811","Glyma.06G145800","Potri.005G083600,Potri.007G082100","Seita.1G334300","Sevir.1G340900"
"S.bicolor","Sobic.002G095400",NA,"Fe,Mn,Cd",NA,NA,NA,NA,"Inferred","Medtr3g088460,LOC_Os07g15370","","Medtr3g088440,Medtr3g088460","LOC_Os07g15370","Traes_4AS_5D4904831,Traes_4DL_657E82F56","GRMZM2G147560","Glyma.06G115800","Potri.002G080400,Potri.002G080500,Potri.005G181000,Potri.005G181100","Seita.2G100300","Sevir.2G103000"
"S.bicolor","Sobic.002G095600",NA,"Fe",NA,NA,NA,NA,"Inferred","Medtr3g088460","","Medtr3g088440,Medtr3g088460","LOC_Os07g15460","Traes_7BL_03741F576,Traes_7DL_365ECF19A","GRMZM2G366919","","","Seita.2G100400","Sevir.2G103100"
"S.bicolor","Sobic.003G086300",NA,"Mn",NA,NA,NA,NA,"Inferred","LOC_Os01g03914","AT1G16310,AT1G79520","Medtr2g064405,Medtr8g046550","LOC_Os01g03914","Traes_3AS_4988A011D","AC182482.3_FG003","Glyma.08G164800,Glyma.09G099500,Glyma.09G122600,Glyma.15G262300,Glyma.15G262400","Potri.008G083600,Potri.010G172700,Potri.010G172800,Potri.010G172900","Seita.5G088300","Sevir.5G086900"
"S.bicolor","Sobic.003G237900",NA,"K",NA,NA,NA,NA,"Inferred","LOC_Os01g45990","AT2G26650","Medtr4g113530","LOC_Os01g45990","Traes_3AL_D426C4603,Traes_3B_1795B9E0B,Traes_3DL_8D6F782B1","GRMZM2G171279","Glyma.05G010600,Glyma.17G118300","Potri.006G154600,Potri.018G071400","Seita.5G244400","Sevir.5G252300"
"S.bicolor","Sobic.003G364900",NA,"Fe",NA,NA,NA,NA,"Inferred","LOC_Os01g64250","AT3G54290","Medtr1g050385,Medtr1g111960","LOC_Os01g64250","Traes_3B_1943DBE89","GRMZM2G141647","Glyma.10G111100,Glyma.10G278400,Glyma.20G111300","Potri.008G019700,Potri.010G239700","Seita.5G390600","Sevir.5G395800"
"S.bicolor","Sobic.003G369600",NA,"Mg,Na",NA,NA,NA,NA,"Inferred","LOC_Os01g64890","","","LOC_Os01g64890","Traes_3B_4AF155431","","","","Seita.5G394800","Sevir.5G400300"
"S.bicolor","Sobic.004G046400",NA,"As",NA,NA,NA,NA,"Inferred","LOC_Os02g06290","","","LOC_Os02g06290","Traes_6AS_A137671B1,Traes_6DS_98585F07B","GRMZM2G303374","","","Seita.1G082100","Sevir.1G080600"
"S.bicolor","Sobic.004G079900",NA,"Cu",NA,NA,NA,NA,"Inferred","LOC_Os02g10290","","Medtr8g012390","LOC_Os02g10290","Traes_6AS_6F306F27E,Traes_6DS_26C5A0A44","GRMZM2G029951","Glyma.03G086000,Glyma.16G088300","Potri.001G019100","Seita.1G049200","Sevir.1G048900"
"S.bicolor","Sobic.004G102200",NA,"As",NA,NA,NA,NA,"Inferred","LOC_Os02g13870","AT4G18910,AT4G19030","Medtr2g017570,Medtr2g017590,Medtr2g017610,Medtr2g017620,Medtr2g017660,Medtr8g087710,Medtr8g087720","LOC_Os02g13870","Traes_7DS_A92314B8C","GRMZM2G041980","Glyma.05G162600,Glyma.08G120100,Glyma.08G120200,Glyma.13G224900,Glyma.15G087300","Potri.004G063000,Potri.011G072100","Seita.1G025100","Sevir.1G025500"
"S.bicolor","Sobic.004G299500",NA,"Fe",NA,NA,NA,NA,"Inferred","LOC_Os02g43410","","","LOC_Os02g43410","Traes_1AL_C6A0E255E,Traes_1BL_CA93E6359,Traes_1DL_7E5ED8683,Traes_6AL_E36FCEF64","GRMZM2G156599","","","Seita.1G254300","Sevir.1G258600"
"S.bicolor","Sobic.004G299600",NA,"Fe",NA,NA,NA,NA,"Inferred","LOC_Os02g43410","","","LOC_Os02g43410","Traes_1AL_C6A0E255E,Traes_1BL_CA93E6359,Traes_1DL_7E5ED8683,Traes_6AL_E36FCEF64","","","","",""
"S.bicolor","Sobic.004G238100",NA,"Se",NA,NA,NA,NA,"Inferred","LOC_Os02g51110","","Medtr7g010650","LOC_Os02g51110","Traes_6AL_4956852E0,Traes_6DL_481276D28","GRMZM2G028325","Glyma.09G238200,Glyma.18G259500","Potri.017G083300","Seita.1G318800","Sevir.1G325000"
"S.bicolor","Sobic.001G474200",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","LOC_Os03g09140","","","LOC_Os03g09140","Traes_4AL_884E74F51,Traes_4BL_8E9618E24,Traes_4DL_1F8BA4DF8","AC166636.1_FG008","","","Seita.9G509800","Sevir.9G514000"
"S.bicolor","Sobic.001G403700",NA,"Fe",NA,NA,NA,NA,"Inferred","LOC_Os03g18550","AT1G07030,AT2G30160","Medtr5g073040","LOC_Os03g18550","Traes_4DL_7B2F68152","GRMZM2G032182","Glyma.02G231200,Glyma.14G198800","Potri.001G282400,Potri.009G077600,Potri.016G125200","Seita.9G437700","Sevir.9G441600"
"S.bicolor","Sobic.006G061300",NA,"Cs",NA,NA,NA,NA,"Inferred","LOC_Os04g32920","","","LOC_Os04g32920","Traes_2AL_987F244D2,Traes_2BL_D0C7517E1,Traes_4AL_FF208A87A,Traes_4DL_496B8485B","GRMZM2G093826","","","Seita.7G082300","Sevir.7G089700"
"S.bicolor","Sobic.009G170500",NA,"Zn",NA,NA,NA,NA,"Inferred","LOC_Os05g39560","AT1G05300,AT2G32270","Medtr2g064310,Medtr3g081580,Medtr3g081640,Medtr3g081690,Medtr3g082050","LOC_Os05g39560","","GRMZM2G047762","","Potri.001G160400,Potri.006G006600,Potri.006G006800,Potri.008G083100,Potri.010G173300","Seita.3G208000","Sevir.3G213300"
"S.bicolor","Sobic.010G033800",NA,"P",NA,NA,NA,NA,"Inferred","LOC_Os06g05160","AT3G15990","Medtr2g102243,Medtr4g011970","LOC_Os06g05160","Traes_4AL_D7CEEBE8C","GRMZM2G444801","Glyma.07G006500,Glyma.08G207100,Glyma.13G360000,Glyma.15G014000","Potri.001G179400,Potri.003G056200","Seita.4G032500","Sevir.4G031300"
"S.bicolor","Sobic.005G114000",NA,"K",NA,NA,NA,NA,"Inferred","LOC_Os07g01810","AT5G55630","","LOC_Os07g01810","Traes_4AL_BE405B578,Traes_4BS_61A38B6BA,Traes_4DS_BDB03ED9C","GRMZM2G351347","","Potri.001G366800,Potri.008G004600,Potri.008G004700","Seita.8G118200","Sevir.8G124600"
"S.bicolor","Sobic.002G060900",NA,"P",NA,NA,NA,NA,"Inferred","LOC_Os07g09000","AT3G52190","Medtr1g090873","LOC_Os07g09000","Traes_7BL_48A3E8A28,Traes_7DL_53DB0C6B3","GRMZM2G158489","Glyma.10G200200,Glyma.20G190300","Potri.008G029200,Potri.010G232400","Seita.2G065200","Sevir.2G068500"
"S.bicolor","Sobic.002G083000",NA,"Cd",NA,NA,NA,NA,"Inferred","LOC_Os07g12900","","","LOC_Os07g12900","","GRMZM2G175576","","","Seita.2G090300","Sevir.2G092800"
"S.bicolor","Sobic.007G039600",NA,"As",NA,NA,NA,NA,"Inferred","LOC_Os08g05590","","","LOC_Os08g05590","Traes_3B_4745DEECD","","","","Seita.6G062200","Sevir.6G060000"
"S.bicolor","Sobic.002G194600",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","LOC_Os09g23300","","","LOC_Os09g23300","Traes_5BL_7CE3EDE29,Traes_5DL_DA6449AC6","GRMZM2G074672","","","Seita.2G197500","Sevir.2G205200"
"S.bicolor","Sobic.001G443100",NA,"Fe",NA,NA,NA,NA,"Inferred","GRMZM2G060952","AT1G59950,AT1G59960","Medtr4g072320,Medtr4g072350,Medtr4g072360","LOC_Os03g13390","Traes_4AS_887399584","GRMZM2G060952","Glyma.09G169700,Glyma.09G170000,Glyma.16G219400,Glyma.16G219500","Potri.008G193100","Seita.9G476100","Sevir.9G479900"
