Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Medtr7g109810,chr7,44978011,44985779,
Medtr7g406770,chr7,866848,867949,
Medtr1g078010,chr1,34878092,34879696,
Medtr0055s0140,scaffold0055,76380,80385,
Medtr7g088290,chr7,34370744,34378066,PTHR23155//PTHR23155:SF554 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 89)
Medtr7g092740,chr7,36787571,36789043,PTHR27000:SF136 - POLYGALACTURONASE INHIBITOR 1-RELATED (1 of 13)
Medtr5g038460,chr5,16892587,16901993,
Medtr4g052530,chr4,19038546,19048862,PF05450 - Nicastrin (Nicastrin)  (1 of 1)
Medtr8g088395,chr8,36621561,36622687,
Medtr2g435380,chr2,13639211,13644505,PTHR22847:SF424 - TOPLESS-RELATED PROTEIN 2-RELATED (1 of 7)
Medtr0062s0090,scaffold0062,35847,36998,PTHR11177//PTHR11177:SF190 - CHITINASE // SUBFAMILY NOT NAMED (1 of 17)
Medtr1g028220,chr1,9466117,9467931,3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase (1 of 116)
Medtr1g024970,chr1,7964789,7965220,PF06839 - GRF zinc finger (zf-GRF)  (1 of 54)
Medtr8g039560,chr8,14708465,14710396,PTHR23315:SF57 - ARMADILLO/BETA-CATENIN-LIKE REPEAT-CONTAINING PROTEIN (1 of 1)
Medtr5g076435,chr5,32610354,32610660,PF07127 - Late nodulin protein (Nodulin_late)  (1 of 603)
Medtr2g026140,chr2,9440599,9444277,"K08150 - MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13 (SLC2A13, ITR)  (1 of 11)"
Medtr1g083110,chr1,36992065,36993182,"PTHR31407:SF16 - PSBP DOMAIN-CONTAINING PROTEIN 7, CHLOROPLASTIC (1 of 1)"
Medtr0082s0220,scaffold0082,47281,47472,
Medtr8g464790,chr8,22956805,22958884,
Medtr3g062980,chr3,28478928,28483211,
Medtr8g097100,chr8,34834941,34835256,
Medtr3g114340,chr3,53399026,53401536,PTHR22792:SF59 - LA-RELATED PROTEIN 1B-RELATED (1 of 3)
Medtr7g071410,chr7,26455701,26455925,
Medtr5g027440,chr5,11404836,11407965,PTHR31499:SF5 - HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN (1 of 1)
Medtr4g085550,chr4,33425198,33432542,"K10661 - E3 ubiquitin-protein ligase MARCH6 (MARCH6, DOA10)  (1 of 1)"
Medtr3g007880,chr3,1227463,1228319,
Medtr4g081225,chr4,31471981,31473230,PTHR11017//PTHR11017:SF155 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 70)
Medtr8g018550,chr8,6350475,6356214,K15718 - linoleate 9S-lipoxygenase (LOX1_5)  (1 of 22)
Medtr5g013345,chr5,4220356,4220673,
Medtr4g076650,chr4,29316410,29316752,
Medtr1g014690,chr1,3494604,3500106,K05928 - tocopherol O-methyltransferase (E2.1.1.95)  (1 of 1)
Medtr5g017370,chr5,6325789,6326247,PTHR13789//PTHR13789:SF227 - MONOOXYGENASE // SUBFAMILY NOT NAMED (1 of 2)
Medtr8g092210,chr8,38536335,38539856,
Medtr2g020560,chr2,6855749,6855934,
Medtr6g060030,chr6,20611457,20612139,PF05899 - Protein of unknown function (DUF861) (Cupin_3)  (1 of 8)
Medtr3g116500,chr3,54496204,54501139,
Medtr1g015150,chr1,3735983,3738997,PTHR24031:SF326 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 53-RELATED (1 of 2)
Medtr1g083230,chr1,37037962,37041428,PTHR11227:SF25 - AUTOPHAGY-RELATED PROTEIN 18C-RELATED (1 of 3)
Medtr7g111110,chr7,45584841,45585709,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr2g025550,chr2,9135425,9142403,
Medtr7g091850,chr7,36353948,36360735,PTHR31375:SF3 - POLYGALACTURONASE ADPG1-RELATED (1 of 3)
Medtr1g012480,chr1,2486581,2488908,
Medtr1g027260,chr1,9006672,9007604,PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)  (1 of 84)
Medtr8g023130,chr8,8275146,8279407,"PF03763 - Remorin, C-terminal region (Remorin_C)  (1 of 17)"
Medtr7g103280,chr7,41770190,41771418,PTHR23241:SF44 - LATE EMBRYOGENESIS ABUNDANT DOMAIN-CONTAINING PROTEIN (1 of 1)
Medtr6g043700,chr6,13228759,13230010,PF08787 - Alginate lyase (Alginate_lyase2)  (1 of 2)
Medtr4g128770,chr4,53596979,53598107,PTHR10334//PTHR10334:SF229 - CYSTEINE-RICH SECRETORY PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Medtr4g082900,chr4,32229285,32230037,
Medtr3g083080,chr3,37492599,37493407,
Medtr7g012580,chr7,3576590,3577752,PTHR24343:SF15 - 5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT ALPHA-2 (1 of 1)
Medtr1g023700,chr1,7622290,7624049,PTHR24298:SF86 - CYTOCHROME P450 71B21-RELATED (1 of 20)
Medtr4g116260,chr4,48100169,48100920,
Medtr5g015950,chr5,5616565,5617911,PTHR31636:SF51 - SCARECROW-LIKE PROTEIN 32 (1 of 3)
Medtr5g014460,chr5,4867158,4867659,PTHR31500:SF17 - AT HOOK MOTIF DNA-BINDING FAMILY PROTEIN (1 of 8)
Medtr8g062790,chr8,26262483,26266262,PTHR11014//PTHR11014:SF85 - PEPTIDASE M20 FAMILY MEMBER // SUBFAMILY NOT NAMED (1 of 3)
Medtr7g050460,chr7,16829359,16829514,
Medtr8g011740,chr8,3241160,3241567,PTHR31951:SF22 - ECA1 GAMETOGENESIS RELATED FAMILY PROTEIN-RELATED (1 of 7)
Medtr1g090733,chr1,40749777,40753110,PTHR11062:SF77 - EXOSTOSIN FAMILY PROTEIN (1 of 1)
Medtr4g046703,chr4,16500354,16501224,
Medtr7g104000,chr7,42047405,42048721,"PTHR23273 - REPLICATION FACTOR A 1, RFA1 (1 of 158)"
Medtr6g086435,chr6,32504604,32506682,3.1.1.11 - Pectinesterase / Pectin methylesterase (1 of 140)
Medtr3g091140,chr3,41422281,41428503,K00565 - mRNA (guanine-N7-)-methyltransferase (RNMT)  (1 of 3)
Medtr2g104910,chr2,45221145,45225854,"K08495 - golgi SNAP receptor complex member 1 (GOSR1, GOS1)  (1 of 3)"
Medtr3g011150,chr3,2714206,2719044,PTHR23068//PTHR23068:SF12 - DNA  CYTOSINE-5- -METHYLTRANSFERASE 3-RELATED // SUBFAMILY NOT NAMED (1 of 3)
Medtr8g101760,chr8,42792170,42792406,
Medtr4g063910,chr4,23801155,23801769,
Medtr5g085070,chr5,36708996,36710491,
Medtr1g095070,chr1,42795577,42799283,PTHR19139:SF167 - AQUAPORIN PIP2-1-RELATED (1 of 2)
Medtr7g090810,chr7,35777125,35781631,PF00646//PF07734 - F-box domain (F-box)  // F-box associated (FBA_1)  (1 of 115)
Medtr5g073770,chr5,31368499,31369822,PTHR12542//PTHR12542:SF29 - EXOCYST COMPLEX PROTEIN EXO70 // SUBFAMILY NOT NAMED (1 of 19)
Medtr1g021570,chr1,6475858,6482290,
Medtr7g070060,chr7,25821486,25824933,PTHR32285:SF11 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 34 (1 of 2)
Medtr8g031350,chr8,11740158,11741626,PF08276 - PAN-like domain (PAN_2)  (1 of 107)
Medtr3g028380,chr3,8993415,8994597,PF07127 - Late nodulin protein (Nodulin_late)  (1 of 603)
Medtr0454s0020,scaffold0454,4080,6039,
Medtr4g130580,chr4,54414120,54417444,
Medtr0006s0160,scaffold0006,109251,114552,
Medtr1g021652,chr1,6532322,6534417,4.2.1.92 - Hydroperoxide dehydratase / Hydroperoxide isomerase (1 of 2)
Medtr0279s0020,scaffold0279,12432,16396,K11855 - ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12] (USP36_42)  (1 of 12)
Medtr4g063865,chr4,23757106,23757757,
Medtr1g028480,chr1,9634390,9634725,PTHR11064:SF20 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-6-RELATED (1 of 5)
Medtr7g069070,chr7,25419911,25424053,PTHR12151:SF5 - AT19154P (1 of 1)
Medtr1g050528,chr1,19548861,19550364,PTHR12176:SF21 - S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN (1 of 1)
Medtr6g033605,chr6,10955081,10955773,
Medtr4g070820,chr4,26674475,26674678,
Medtr1g050425,chr1,19382771,19386090,
Medtr2g014950,chr2,4350371,4353373,PTHR22055 - 28 KDA HEAT- AND ACID-STABLE PHOSPHOPROTEIN  PDGF-ASSOCIATED PROTEIN (1 of 2)
Medtr0499s0050,scaffold0499,11476,12691,
Medtr4g051738,chr4,18727789,18731992,PTHR11017//PTHR11017:SF171 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 139)
Medtr7g024190,chr7,7919789,7939374,
Medtr4g123030,chr4,50758113,50763534,
Medtr1g028010,chr1,9391272,9395422,
Medtr3g028590,chr3,9140237,9143492,"PTHR24089:SF316 - ADP,ATP CARRIER PROTEIN 1, MITOCHONDRIAL (1 of 3)"
Medtr2g066810,chr2,27915974,27917833,
Medtr0105s0110,scaffold0105,30203,30990,
Medtr3g083740,chr3,37782867,37783334,
Medtr6g086060,chr6,32233745,32241680,
Medtr1g019200,chr1,5740491,5747161,
Medtr7g076797,chr7,28967527,28968238,
Medtr4g114105,chr4,46966742,46969290,PTHR31134:SF1 - TRANSMEMBRANE PROTEIN 128 (1 of 1)
Medtr8g027160,chr8,9542188,9547424,"PTHR24093:SF289 - CALCIUM-TRANSPORTING ATPASE 1, ENDOPLASMIC RETICULUM-TYPE-RELATED (1 of 2)"
Medtr5g072040,chr5,30645329,30645493,
Medtr3g061530,chr3,24539621,24542170,PF04483 - Protein of unknown function (DUF565) (DUF565)  (1 of 4)
Medtr2g078570,chr2,32790746,32791615,PTHR13937:SF0 - EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT C-RELATED (1 of 11)
Medtr7g074680,chr7,27924873,27932744,
Medtr1g097560,chr1,44002435,44005765,PF00646//PF07734 - F-box domain (F-box)  // F-box associated (FBA_1)  (1 of 115)
Medtr1g059630,chr1,25919444,25926274,
Medtr6g060650,chr6,21015338,21016459,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr1g062410,chr1,27241534,27242059,PTHR20852:SF16 - TYPE-1 GLUTAMINE SYNTHETASE 1 (1 of 9)
Medtr5g033180,chr5,14302376,14303343,
Medtr4g011440,chr4,2778339,2783754,3.8.1.5 - Haloalkane dehalogenase / 1-chlorohexane halidohydrolase (1 of 4)
Medtr7g097180,chr7,39087470,39088958,PTHR23177:SF8 - CRIB DOMAIN-CONTAINING PROTEIN RIC1-RELATED (1 of 5)
Medtr3g101820,chr3,46902751,46903162,PTHR23115//PTHR23115:SF136 - TRANSLATION FACTOR // SUBFAMILY NOT NAMED (1 of 5)
Medtr2g043050,chr2,18742621,18743617,PTHR31985:SF34 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF018 (1 of 11)
Medtr2g072860,chr2,30819651,30820568,"PTHR11260//PTHR11260:SF120 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 14)"
Medtr6g016635,chr6,6324968,6329105,1.5.5.2 - Proline dehydrogenase (1 of 4)
Medtr5g091110,chr5,39695039,39705460,PTHR22807:SF34 - METHYLTRANSFERASE NSUN6-RELATED (1 of 1)
Medtr5g017515,chr5,6401442,6402635,
Medtr4g036530,chr4,13162160,13162512,
Medtr8g085520,chr8,35420164,35420723,PF13639 - Ring finger domain (zf-RING_2)  (1 of 285)
Medtr5g076000,chr5,32369084,32370599,
Medtr3g037380,chr3,13724518,13727810,
Medtr7g052025,chr7,18272593,18273910,
Medtr2g043860,chr2,19060148,19060402,
Medtr2g007190,chr2,858197,859024,3.6.4.12 - DNA helicase (1 of 261)
Medtr7g098880,chr7,39619258,39619524,
Medtr4g084520,chr4,32892006,32893902,PTHR34545:SF2 - CLAVATA3/ESR (CLE)-RELATED PROTEIN 16-RELATED (1 of 1)
Medtr1g014780,chr1,3551204,3551899,PTHR31985:SF34 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF018 (1 of 11)
Medtr8g077210,chr8,32840746,32841636,
Medtr3g032130,chr3,10084653,10084886,
Medtr5g038930,chr5,17150345,17152097,
Medtr5g034930,chr5,15189184,15192879,PF00892 - EamA-like transporter family (EamA)  (1 of 88)
Medtr3g026400,chr3,8137222,8143447,
Medtr4g050770,chr4,18030728,18031159,K02703 - photosystem II P680 reaction center D1 protein (psbA)  (1 of 9)
Medtr2g080090,chr2,33804581,33806914,PTHR27002:SF31 - G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE SD2-5 (1 of 8)
Medtr6g045483,chr6,16399503,16403084,PTHR10283//PTHR10283:SF94 - SOLUTE CARRIER FAMILY 13 MEMBER // SUBFAMILY NOT NAMED (1 of 2)
Medtr6g015655,chr6,5334103,5336139,
Medtr6g045577,chr6,16483000,16483779,"PF00076 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) (RRM_1)  (1 of 243)"
Medtr4g104660,chr4,43359064,43361426,1.14.13.120 - Costunolide synthase (1 of 13)
Medtr3g084230,chr3,38038456,38038734,K14488 - SAUR family protein (SAUR)  (1 of 124)
Medtr7g095890,chr7,38445840,38449795,PF14309 - Domain of unknown function (DUF4378) (DUF4378)  (1 of 28)
Medtr0714s0010,scaffold0714,1211,7317,3.6.3.50 - Protein-secreting ATPase (1 of 3)
Medtr8g070105,chr8,29778550,29780272,PF00079 - Serpin (serine protease inhibitor) (Serpin)  (1 of 44)
Medtr5g045490,chr5,19957328,19961582,PF13041 - PPR repeat family (PPR_2)  (1 of 599)
Medtr5g015190,chr5,5227392,5228070,PF05678 - VQ motif (VQ)  (1 of 35)
Medtr3g047490,chr3,15836470,15837441,
Medtr3g062350,chr3,28153166,28153439,
Medtr2g093500,chr2,39865569,39871980,PTHR18929:SF59 - PROTEIN DISULFIDE ISOMERASE-LIKE 1-5-RELATED (1 of 2)
Medtr7g022710,chr7,7340096,7340494,PTHR10168:SF62 - GLUTAREDOXIN-C7-RELATED (1 of 4)
Medtr2g014700,chr2,4241432,4242759,PTHR31079:SF5 - NAC DOMAIN CONTAINING PROTEIN 10 (1 of 4)
Medtr1g016610,chr1,4470377,4470601,
Medtr1g090130,chr1,40364703,40370583,PTHR11353//PTHR11353:SF80 - CHAPERONIN // SUBFAMILY NOT NAMED (1 of 2)
Medtr8g096530,chr8,40494916,40498108,PTHR31642:SF43 - OMEGA-HYDROXYPALMITATE O-FERULOYL TRANSFERASE (1 of 2)
Medtr3g031650,chr3,26669980,26674703,PTHR10366:SF369 - CINNAMOYL-COA REDUCTASE-LIKE PROTEIN (1 of 2)
Medtr7g065230,chr7,23789741,23792149,PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE U1-RELATED (1 of 14)
Medtr4g128840,chr4,53621554,53628047,5.3.1.5 - Xylose isomerase / D-xylose ketoisomerase (1 of 1)
Medtr2g008600,chr2,1551330,1551831,
Medtr3g114480,chr3,53453460,53458493,
Medtr2g005410,chr2,150891,155962,PTHR11689:SF91 - CHLORIDE CHANNEL PROTEIN CLC-C (1 of 3)
Medtr4g010940,chr4,2538051,2538582,
Medtr5g062030,chr5,25772535,25772810,
Medtr4g121590,chr4,50253831,50254961,1.3.1.3 - Delta(4)-3-oxosteroid 5-beta-reductase / Testosterone 5-beta-reductase (1 of 11)
Medtr3g462080,chr3,24753659,24754759,
Medtr3g076550,chr3,34413124,34415596,1.14.13.120 - Costunolide synthase (1 of 13)
Medtr4g057990,chr4,21482138,21483709,1.3.3.8 - Tetrahydroberberine oxidase / THB oxidase (1 of 32)
Medtr1g035700,chr1,13030429,13038312,
Medtr2g077970,chr2,32304368,32304792,PTHR27000:SF160 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN DDB_G0281931-RELATED (1 of 4)
Medtr8g104770,chr8,44126369,44127223,PF14111 - Domain of unknown function (DUF4283) (DUF4283)  (1 of 116)
Medtr1g019720,chr1,5982916,5983203,PTHR10891//PTHR10891:SF590 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 5)
Medtr3g007660,chr3,1109865,1112278,PTHR11527//PTHR11527:SF131 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED (1 of 3)
Medtr5g077280,chr5,32994709,32998460,
Medtr7g074135,chr7,27690853,27691101,
Medtr4g074860,chr4,28485039,28503815,
Medtr5g077770,chr5,33192709,33203844,PTHR10217:SF478 - POTASSIUM CHANNEL GORK-RELATED (1 of 1)
Medtr8g098715,chr8,41207973,41212681,6.5.1.4 - RNA 3'-terminal-phosphate cyclase (ATP) / RNA-3'-phosphate cyclase (1 of 1)
Medtr2g026960,chr2,9814326,9814505,
Medtr2g011270,chr2,2716165,2721362,PTHR27002:SF84 - ATP BINDING / PROTEIN KINASE-RELATED (1 of 29)
Medtr4g018840,chr4,5820904,5821528,PTHR27007:SF24 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE IX.1-RELATED (1 of 12)
Medtr3g103240,chr3,47583334,47585548,PTHR20855:SF52 - ADIPONECTIN RECEPTOR PROTEIN (1 of 2)
Medtr7g117550,chr7,48707290,48708781,
Medtr7g117445,chr7,48577550,48589222,
Medtr0009s0150,scaffold0009,72978,76445,
Medtr1g062330,chr1,27195814,27206523,PTHR24098:SF5 - ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER DOMAIN-CONTAINING PROTEIN (1 of 11)
Medtr8g060730,chr8,21235400,21236558,
Medtr2g100595,chr2,43243706,43245263,
Medtr3g045770,chr3,14998891,15006882,K16296 - serine carboxypeptidase-like clade I [EC:3.4.16.-] (SCPL-I)  (1 of 13)
Medtr2g084630,chr2,35865773,35875405,
Medtr2g033420,chr2,12704748,12705352,
Medtr3g106210,chr3,49033778,49052884,
Medtr1g046550,chr1,17538432,17539226,
Medtr3g464910,chr3,26201943,26202461,
Medtr8g069253,chr8,28980303,28980820,
Medtr7g078070,chr7,29503309,29506922,
Medtr8g092650,chr8,38761814,38767068,
Medtr1g019740,chr1,5985758,5992745,
Medtr3g104740,chr3,48284833,48287469,2.1.1.140 - (S)-coclaurine-N-methyltransferase (1 of 1)
Medtr3g029620,chr3,9328864,9330826,PF00646//PF03478 - F-box domain (F-box)  // Protein of unknown function (DUF295) (DUF295)  (1 of 6)
Medtr1g107485,chr1,48788966,48794751,"PTHR10283:SF103 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MLD14-RELATED (1 of 1)"
Medtr4g086110,chr4,33688736,33689182,"PTHR22773:SF92 - NAD(P)H-QUINONE OXIDOREDUCTASE CHAIN 4, CHLOROPLASTIC (1 of 40)"
Medtr4g088975,chr4,35581165,35587641,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1760)
Medtr3g092720,chr3,42364192,42367168,PTHR33231:SF1 - 30S RIBOSOMAL PROTEIN-RELATED (1 of 1)
Medtr4g059540,chr4,21928732,21933621,
Medtr4g071730,chr4,27152365,27153311,"PTHR23273 - REPLICATION FACTOR A 1, RFA1 (1 of 158)"
Medtr1g034780,chr1,12751899,12752075,
Medtr1g053050,chr1,22075971,22076779,PF08387 - FBD (FBD)  (1 of 223)
Medtr1g033080,chr1,11878922,11883894,PF01190//PF04554 - Pollen proteins Ole e I like (Pollen_Ole_e_I)  // Extensin-like region (Extensin_2)  (1 of 3)
Medtr1g114330,chr1,51593311,51594369,
Medtr1g066860,chr1,28735501,28737426,"K02973 - small subunit ribosomal protein S23e (RP-S23e, RPS23)  (1 of 3)"
Medtr1g080420,chr1,35726804,35761109,K10779 - transcriptional regulator ATRX [EC:3.6.4.12] (ATRX)  (1 of 1)
Medtr6g071185,chr6,26312663,26313864,
Medtr2g064295,chr2,27232963,27238876,K04121 - ent-kaurene synthase (E4.2.3.19)  (1 of 2)
Medtr7g100925,chr7,40689240,40689749,
Medtr5g016110,chr5,5716849,5721629,
Medtr3g081510,chr3,36906081,36906410,
Medtr1g083040,chr1,36931175,36944066,
Medtr1g033720,chr1,12182299,12183454,PF07172 - Glycine rich protein family (GRP)  (1 of 8)
Medtr1g076990,chr1,34353455,34359940,
Medtr8g035640,chr8,13010394,13010900,PTHR31602:SF3 - GROWTH-REGULATING FACTOR 9 (1 of 2)
Medtr1313s0020,scaffold1313,1035,1940,K14541 - urea carboxylase / allophanate hydrolase (DUR1)  (1 of 1)
Medtr7g063650,chr7,23212076,23220462,"K12657 - delta-1-pyrroline-5-carboxylate synthetase (ALDH18A1, P5CS)  (1 of 3)"
Medtr8g013620,chr8,4158808,4164403,
Medtr1g047950,chr1,18138276,18139184,PTHR27000:SF136 - POLYGALACTURONASE INHIBITOR 1-RELATED (1 of 13)
Medtr2g036380,chr2,15750414,15755711,
Medtr3g498835,chr3,45180116,45181196,
Medtr8g009530,chr8,2234813,2244988,"PTHR12507 - REDUCED GROWTH PHENOTYPE 1  RGP1, YEAST -RELATED (1 of 1)"
Medtr7g076900,chr7,29044744,29050860,PTHR10024//PTHR10024:SF219 - SYNAPTOTAGMIN // SUBFAMILY NOT NAMED (1 of 2)
Medtr7g105890,chr7,42997850,42999610,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 65)
Medtr3g062540,chr3,28248998,28251513,
Medtr8g018790,chr8,6495647,6502238,3.4.11.2 - Membrane alanyl aminopeptidase / Peptidase E (1 of 2)
Medtr1g101490,chr1,45838576,45838845,
Medtr1g079130,chr1,35177988,35180870,PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED (1 of 19)
Medtr5g008660,chr5,1864095,1864373,PTHR22763//PTHR22763:SF62 - RING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Medtr4g095020,chr4,39522604,39523169,
Medtr4g123090,chr4,50815894,50820448,"PTHR11214:SF131 - BETA-1,3-GALACTOSYLTRANSFERASE 16-RELATED (1 of 1)"
Medtr5g014990,chr5,5113035,5114677,PTHR10641:SF654 - TRANSCRIPTION FACTOR RAX1-RELATED (1 of 1)
Medtr2g100880,chr2,43394459,43395841,PTHR28242:SF4 - HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 4 (1 of 2)
Medtr7g066010,chr7,24001262,24002473,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr4g072510,chr4,27479822,27480082,K14488 - SAUR family protein (SAUR)  (1 of 124)
Medtr8g446690,chr8,18292959,18294059,
Medtr7g093600,chr7,37208267,37212195,
Medtr1g047800,chr1,18084465,18087983,PTHR23155//PTHR23155:SF580 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 10)
Medtr8g464350,chr8,22732660,22734252,PF01357//PF03330 - Pollen allergen (Pollen_allerg_1)  // Rare lipoprotein A (RlpA)-like double-psi beta-barrel (DPBB_1)  (1 of 40)
Medtr6g477860,chr6,28638569,28642957,PTHR12802:SF37 - PROTEIN REVEILLE 7-LIKE (1 of 1)
Medtr7g082130,chr7,31451724,31455731,
Medtr6g023715,chr6,8329288,8333376,K01052 - lysosomal acid lipase/cholesteryl ester hydrolase (LIPA)  (1 of 4)
Medtr4g063240,chr4,23415420,23416247,K11252 - histone H2B (H2B)  (1 of 19)
Medtr2g082770,chr2,34727678,34734495,
Medtr3g092460,chr3,42236545,42237854,"PTHR11527:SF167 - 25.3 KDA HEAT SHOCK PROTEIN, CHLOROPLASTIC (1 of 1)"
Medtr6g055250,chr6,19764237,19766650,"PTHR23273//PTHR23273:SF8 - REPLICATION FACTOR A 1, RFA1 // SUBFAMILY NOT NAMED (1 of 36)"
Medtr1g030262,chr1,10496338,10496712,PTHR22835//PTHR22835:SF239 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 15)
Medtr3g091280,chr3,41497770,41505292,
Medtr2g436710,chr2,14295748,14305736,PTHR24223:SF246 - ABC TRANSPORTER C FAMILY MEMBER 14-RELATED (1 of 7)
Medtr6g039970,chr6,14368250,14370848,K14424 - 4-alpha-methyl-delta7-sterol-4alpha-methyl oxidase (SMO2)  (1 of 3)
Medtr3g092490,chr3,42251169,42253164,
Medtr1g105065,chr1,47357568,47363740,K09142 - hypothetical protein (K09142)  (1 of 1)
Medtr6g060490,chr6,20804345,20806562,
Medtr2g105230,chr2,45369668,45371872,
Medtr4g119120,chr4,49335688,49337418,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 210)
Medtr3g101230,chr3,46567256,46577932,"K16572 - gamma-tubulin complex component 5 (TUBGCP5, GCP5)  (1 of 1)"
Medtr2g049770,chr2,22359297,22363053,PTHR23172//PTHR23172:SF39 - AUXILIN/CYCLIN G-ASSOCIATED KINASE-RELATED // SUBFAMILY NOT NAMED (1 of 3)
Medtr1314s0010,scaffold1314,924,1970,1.2.1.68 - Coniferyl-aldehyde dehydrogenase (1 of 1)
Medtr4g019070,chr4,5915386,5915583,
Medtr7g111650,chr7,45835506,45841989,
Medtr3g105980,chr3,48870681,48875085,K16860 - phospholipase D3/4 (PLD3_4)  (1 of 1)
Medtr1g018350,chr1,5255703,5269271,
Medtr4g014570,chr4,4120596,4130119,
Medtr4g094438,chr4,37992252,37993470,
Medtr8g030760,chr8,11418186,11418617,
Medtr7g017980,chr7,5773740,5774244,
Medtr1g085690,chr1,38294818,38296141,"PTHR23273 - REPLICATION FACTOR A 1, RFA1 (1 of 158)"
Medtr8g040190,chr8,14959726,14975590,PF05664 - Plant family of unknown function (DUF810) (DUF810)  (1 of 7)
Medtr6g071555,chr6,26536124,26537866,PTHR12856 - TRANSCRIPTION INITIATION FACTOR IIH-RELATED (1 of 2)
Medtr5g092070,chr5,40192875,40193307,
Medtr6g091780,chr6,34588458,34593151,
Medtr5g042620,chr5,18733415,18739673,
Medtr3g085750,chr3,38799088,38804725,K02321 - DNA polymerase alpha subunit B (POLA2)  (1 of 1)
Medtr2g078810,chr2,32995956,33000589,PTHR27000:SF24 - PHYTOSULFOKINE RECEPTOR 2 (1 of 1)
Medtr7g033500,chr7,12112501,12113607,
Medtr6g066190,chr6,24554668,24555510,PTHR33107:SF1 - DR4 PROTEIN-RELATED (1 of 22)
Medtr6g444930,chr6,15547451,15548727,4.2.3.19 - Ent-kaurene synthase / Ent-kaurene synthetase B (1 of 6)
Medtr3g078670,chr3,35492903,35494789,
Medtr8g099900,chr8,40291464,40297677,
Medtr8g086550,chr8,35906780,35909962,PTHR23012//PTHR23012:SF76 - MEMBRANE ASSOCIATED RING FINGER // SUBFAMILY NOT NAMED (1 of 4)
Medtr3g048440,chr3,17940831,17943912,PF08263//PF13855 - Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 76)
Medtr6g027160,chr6,9192210,9196689,
Medtr6g084180,chr6,31447642,31448642,
Medtr1g075540,chr1,33453001,33457614,
Medtr1g035360,chr1,12833958,12837160,K12736 - peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC:5.2.1.8] (PPWD1)  (1 of 2)
Medtr4g077773,chr4,29825834,29826568,
Medtr6g053780,chr6,19402677,19404517,
Medtr4g102220,chr4,42326288,42327158,PTHR33593:SF2 - F5O11.5 (1 of 4)
