Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Seita.4G187100,scaffold_4,30505508,30506029,"K03094 - S-phase kinase-associated protein 1 (SKP1, CBF3D)  (1 of 13)"
Seita.2G273300,scaffold_2,37273894,37282488,
Seita.2G107700,scaffold_2,10409916,10410758,PTHR19431 - 60S RIBOSOMAL PROTEIN L4 (1 of 5)
Seita.2G204900,scaffold_2,30616766,30620186,
Seita.5G377600,scaffold_5,41141386,41144924,
Seita.5G001400,scaffold_5,155575,158071,PTHR10358//PTHR10358:SF10 - ENDOSULFINE // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G087900,scaffold_9,5278582,5281922,
Seita.3G011900,scaffold_3,637713,639655,PTHR10774//PTHR10774:SF58 - EXTENDED SYNAPTOTAGMIN-RELATED // SUBFAMILY NOT NAMED (1 of 3)
Seita.9G158100,scaffold_9,10425400,10430944,PTHR22536 - LUNG CANCER METASTASIS-RELATED  LCMR1  PROTEIN (1 of 2)
Seita.6G070900,scaffold_6,6147939,6151125,PTHR10811//PTHR10811:SF25 - FRINGE-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Seita.3G012300,scaffold_3,650939,652060,PTHR19375//PTHR19375:SF193 - HEAT SHOCK PROTEIN 70KDA // SUBFAMILY NOT NAMED (1 of 4)
Seita.2G174600,scaffold_2,26333417,26335913,
Seita.9G239800,scaffold_9,18707728,18716786,PTHR11406//PTHR11406:SF13 - PHOSPHOGLYCERATE KINASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.5G094800,scaffold_5,8013242,8020368,
Seita.9G508000,scaffold_9,54102699,54105420,PTHR12537//PTHR12537:SF68 - RNA BINDING PROTEIN PUMILIO-RELATED // SUBFAMILY NOT NAMED (1 of 4)
Seita.3G132800,scaffold_3,9214294,9215127,
Seita.1G325400,scaffold_1,38472000,38478875,KOG0149 - Predicted RNA-binding protein SEB4 (RRM superfamily) (1 of 8)
Seita.9G482400,scaffold_9,52256358,52261766,K10293 - F-box protein 7 (FBXO7)  (1 of 1)
Seita.5G254800,scaffold_5,31718452,31720018,PTHR11527//PTHR11527:SF129 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED (1 of 3)
Seita.8G052500,scaffold_8,4550011,4554199,PF00092 - von Willebrand factor type A domain (VWA)  (1 of 12)
Seita.8G040300,scaffold_8,2918052,2919086,PF07893 - Protein of unknown function (DUF1668) (DUF1668)  (1 of 90)
Seita.2G356200,scaffold_2,43521009,43524551,PTHR11062//PTHR11062:SF50 - EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED // SUBFAMILY NOT NAMED (1 of 1)
Seita.2G386500,scaffold_2,45464150,45468786,K13346 - peroxin-10 (PEX10)  (1 of 1)
Seita.4G217800,scaffold_4,33788828,33790949,K18693 - diacylglycerol diphosphate phosphatase / phosphatidate phosphatase (DPP1)  (1 of 1)
Seita.3G075400,scaffold_3,4791715,4794678,PTHR22835//PTHR22835:SF223 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.1G286700,scaffold_1,35651289,35651414,
Seita.5G379500,scaffold_5,41302818,41308559,
Seita.3G394200,scaffold_3,49544096,49545333,
Seita.2G041200,scaffold_2,3346419,3348867,PTHR23024//PTHR23024:SF140 - MEMBER OF 'GDXG' FAMILY OF LIPOLYTIC ENZYMES // SUBFAMILY NOT NAMED (1 of 3)
Seita.2G062600,scaffold_2,5192800,5196772,
Seita.3G114900,scaffold_3,7728344,7728886,PF00234 - Protease inhibitor/seed storage/LTP family (Tryp_alpha_amyl)  (1 of 20)
Seita.8G154800,scaffold_8,29366088,29370102,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1406)
Seita.8G215600,scaffold_8,36913688,36914440,PF12274 - Protein of unknown function (DUF3615) (DUF3615)  (1 of 31)
Seita.2G104600,scaffold_2,9984620,9985468,PF00646 - F-box domain (F-box)  (1 of 322)
Seita.5G258700,scaffold_5,32173134,32174180,3.4.11.5 - Prolyl aminopeptidase / Proline iminopeptidase (1 of 5)
Seita.3G099500,scaffold_3,6467235,6472082,KOG0993 - Rab5 GTPase effector Rabaptin-5 (1 of 4)
Seita.7G276900,scaffold_7,32663433,32665801,"K03020 - DNA-directed RNA polymerases I and III subunit RPAC2 (RPC19, POLR1D)  (1 of 2)"
Seita.3G237500,scaffold_3,20054981,20061388,
Seita.6G103400,scaffold_6,12824084,12830263,PF03106 - WRKY DNA -binding domain (WRKY)  (1 of 109)
Seita.5G021900,scaffold_5,2265672,2269142,PF14416 - PMR5 N terminal Domain (PMR5N)  (1 of 63)
Seita.3G193600,scaffold_3,14690588,14699605,"K11292 - transcription elongation factor SPT6 (SUPT6H, SPT6)  (1 of 1)"
Seita.2G205400,scaffold_2,30673182,30675475,PF05910 - Plant protein of unknown function (DUF868) (DUF868)  (1 of 14)
Seita.5G326500,scaffold_5,37548189,37554352,PTHR12446:SF14 - PROTEIN LIN-54 HOMOLOG (1 of 1)
Seita.2G326400,scaffold_2,41390664,41396156,PTHR10663//PTHR10663:SF163 - GUANYL-NUCLEOTIDE EXCHANGE FACTOR // SUBFAMILY NOT NAMED (1 of 2)
Seita.9G457800,scaffold_9,50431689,50441578,PTHR13312//PTHR13312:SF2 - HIV-INDUCED PROTEIN-7-LIKE PROTEASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.5G257800,scaffold_5,32038088,32038318,
Seita.8G210800,scaffold_8,36067226,36070022,PTHR11709//PTHR11709:SF119 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED (1 of 26)
Seita.6G083500,scaffold_6,7428615,7430345,PF03087 - Arabidopsis protein of unknown function (DUF241)  (1 of 47)
Seita.4G277200,scaffold_4,39323045,39327802,PTHR23063:SF9 - LYSOPHOSPHOLIPID ACYLTRANSFERASE LPEAT2 (1 of 1)
Seita.8G212000,scaffold_8,36439011,36441944,PTHR11709//PTHR11709:SF119 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED (1 of 26)
Seita.7G168300,scaffold_7,25003084,25006678,PF00069//PF07645//PF13947 - Protein kinase domain (Pkinase)  // Calcium-binding EGF domain (EGF_CA)  // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)  (1 of 18)
Seita.5G366700,scaffold_5,40426947,40430059,PTHR13234//PTHR13234:SF20 - GAMMA-INTERFERON INDUCIBLE LYSOSOMAL THIOL REDUCTASE  GILT // SUBFAMILY NOT NAMED (1 of 1)
Seita.3G321200,scaffold_3,39978178,39984692,
Seita.1G047500,scaffold_1,4637358,4641740,PF01535//PF13041//PF13812//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 21)
Seita.1G139400,scaffold_1,14475982,14476810,
Seita.9G217400,scaffold_9,15854151,15863262,PF01657//PF07714 - Salt stress response/antifungal (Stress-antifung)  // Protein tyrosine kinase (Pkinase_Tyr)  (1 of 21)
Seita.2G011700,scaffold_2,740275,742563,PTHR23155//PTHR23155:SF641 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 10)
Seita.8G020100,scaffold_8,1129788,1139634,K04646 - clathrin heavy chain (CLTC)  (1 of 3)
Seita.4G098200,scaffold_4,8415085,8418079,2.4.1.43 - Polygalacturonate 4-alpha-galacturonosyltransferase (1 of 27)
Seita.4G226700,scaffold_4,34769858,34770995,PF01344 - Kelch motif (Kelch_1)  (1 of 33)
Seita.9G012900,scaffold_9,686867,690479,PTHR24055:SF184 - SERINE/THREONINE-PROTEIN KINASE MHK (1 of 1)
Seita.1G323800,scaffold_1,38345976,38348505,
Seita.5G095600,scaffold_5,8079047,8082622,PF05623 - Protein of unknown function (DUF789) (DUF789)  (1 of 10)
Seita.6G254000,scaffold_6,35894516,35899838,
Seita.2G112400,scaffold_2,10947386,10950661,PTHR24326:SF288 - HOMEOBOX-LEUCINE ZIPPER PROTEIN HDG7 (1 of 3)
Seita.9G384900,scaffold_9,44276272,44282802,
Seita.9G205100,scaffold_9,14691554,14697192,PTHR13134:SF3 - TRAFFICKING PROTEIN PARTICLE COMPLEX SUBUNIT 13 (1 of 1)
Seita.5G188000,scaffold_5,23995826,24010091,PTHR10887//PTHR10887:SF372 - DNA2/NAM7 HELICASE FAMILY // SUBFAMILY NOT NAMED (1 of 2)
Seita.3G060400,scaffold_3,3841300,3844136,PF00069//PF00954//PF01453//PF08276 - Protein kinase domain (Pkinase)  // S-locus glycoprotein domain (S_locus_glycop)  // D-mannose binding lectin (B_lectin)  // PAN-like domain (PAN_2)  (1 of 44)
Seita.9G429700,scaffold_9,48414065,48416481,3.4.19.1 - Acylaminoacyl-peptidase / N-acylpeptide hydrolase (1 of 5)
Seita.2G342300,scaffold_2,42470499,42474990,PF01657//PF07714 - Salt stress response/antifungal (Stress-antifung)  // Protein tyrosine kinase (Pkinase_Tyr)  (1 of 21)
Seita.1G272700,scaffold_1,34553126,34558374,
Seita.9G147800,scaffold_9,9591334,9593076,
Seita.7G140700,scaffold_7,23113707,23114585,
Seita.7G318800,scaffold_7,35077618,35080816,
Seita.2G026000,scaffold_2,2072785,2074545,KOG0580 - Serine/threonine protein kinase (1 of 11)
Seita.2G162100,scaffold_2,23628680,23636088,
Seita.4G241500,scaffold_4,36572910,36574605,K14488 - SAUR family protein (SAUR)  (1 of 35)
Seita.3G373400,scaffold_3,47693526,47696835,
Seita.2G058700,scaffold_2,4838566,4841882,"PTHR10825 - RING FINGER DOMAIN-CONTAINING, POLYCOMB GROUP COMPONENT (1 of 21)"
Seita.7G132500,scaffold_7,22503764,22506281,
Seita.7G281700,scaffold_7,32937337,32941186,PTHR23151//PTHR23151:SF61 - DIHYDROLIPOAMIDE ACETYL/SUCCINYL-TRANSFERASE-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Seita.4G041700,scaffold_4,3031551,3037766,PF00010 - Helix-loop-helix DNA-binding domain (HLH)  (1 of 160)
Seita.1G284800,scaffold_1,35489040,35496580,K03164 - DNA topoisomerase II [EC:5.99.1.3] (TOP2)  (1 of 1)
Seita.2G003500,scaffold_2,222591,224898,PTHR23023:SF86 - FLAVIN-CONTAINING MONOOXYGENASE FMO GS-OX-LIKE 8-RELATED (1 of 2)
Seita.1G180500,scaffold_1,26008532,26013496,1.11.1.10 - Chloride peroxidase / Vanadium haloperoxidase (1 of 1)
Seita.7G025500,scaffold_7,5815811,5828259,
Seita.3G158600,scaffold_3,11489990,11495925,"PTHR11584:SF316 - SERINE/THREONINE-PROTEIN KINASE STN7, CHLOROPLASTIC (1 of 1)"
Seita.4G173300,scaffold_4,27841129,27847676,
Seita.2G217800,scaffold_2,31999124,32000741,
Seita.9G406400,scaffold_9,46588740,46589378,PF01559 - Zein seed storage protein (Zein)  (1 of 15)
Seita.4G060800,scaffold_4,4497832,4500488,
Seita.2G307200,scaffold_2,39900185,39901774,PTHR11685//PTHR11685:SF131 - RBR FAMILY  RING FINGER AND IBR DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 4)
Seita.7G179100,scaffold_7,25770715,25772607,1.1.1.208 - (+)-neomenthol dehydrogenase / Monoterpenoid dehydrogenase (1 of 17)
Seita.9G441200,scaffold_9,49239568,49246233,PTHR24098:SF4 - ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER DOMAIN-RELATED (1 of 2)
Seita.7G218700,scaffold_7,28657399,28659916,"PF00076//PF14259 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) (RRM_1)  // RNA recognition motif (a.k.a. RRM, RBD, or RNP domain) (RRM_6)  (1 of 13)"
Seita.9G119000,scaffold_9,7372533,7374443,PTHR21493//PTHR21493:SF129 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.4G231400,scaffold_4,35284610,35291558,
Seita.8G112700,scaffold_8,19677441,19682137,PTHR30603//PTHR30603:SF25 - RNA POLYMERASE SIGMA FACTOR RPO // SUBFAMILY NOT NAMED (1 of 2)
Seita.8G028000,scaffold_8,1719096,1728635,"PTHR24096:SF221 - PROTEIN ACS-13, ISOFORM C (1 of 3)"
Seita.7G031200,scaffold_7,9455725,9458775,PF05514 - HR-like lesion-inducing (HR_lesion)  (1 of 2)
Seita.9G105700,scaffold_9,6384004,6385467,
Seita.9G031800,scaffold_9,1713384,1716273,PF03514 - GRAS domain family (GRAS)  (1 of 57)
Seita.9G406600,scaffold_9,46602617,46611195,"PTHR12549:SF17 - WRC, ZF-4CXXC-R1 TRANSCRIPTION FACTOR AND JUMONJI DOMAIN-CONTAINING PROTEIN (1 of 1)"
Seita.7G132100,scaffold_7,22472588,22477167,"K12639 - cytochrome P450, family 724, subfamily B, polypeptide 1 (CYP724B1, D11)  (1 of 2)"
Seita.2G284100,scaffold_2,38042640,38043515,K19033 - RPS31; 30S ribosomal protein S31 (PSRP4)  (1 of 2)
Seita.3G304500,scaffold_3,35188906,35191690,PTHR10353//PTHR10353:SF56 - GLYCOSYL HYDROLASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G394800,scaffold_9,45695554,45696927,
Seita.3G088700,scaffold_3,5733309,5735994,PF00069//PF00954//PF01453 - Protein kinase domain (Pkinase)  // S-locus glycoprotein domain (S_locus_glycop)  // D-mannose binding lectin (B_lectin)  (1 of 11)
Seita.2G185000,scaffold_2,28079354,28085294,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1406)
Seita.7G177400,scaffold_7,25676576,25681771,PTHR31692:SF5 - EXPANSIN-B1-RELATED (1 of 1)
Seita.2G215200,scaffold_2,31714657,31715325,PF13016 - Cys-rich Gliadin N-terminal (Gliadin)  (1 of 4)
Seita.9G380900,scaffold_9,43993826,43997918,1.14.11.33 - DNA oxidative demethylase / Alkylated DNA repair protein (1 of 5)
Seita.2G426400,scaffold_2,47864190,47867761,
Seita.9G268600,scaffold_9,22726791,22728926,
Seita.7G316300,scaffold_7,34957379,34960074,PTHR10183 - CALPAIN (1 of 5)
Seita.9G059200,scaffold_9,3417541,3420279,
Seita.8G016100,scaffold_8,933403,934450,
Seita.1G217800,scaffold_1,29736854,29740155,
Seita.5G167700,scaffold_5,16829538,16830072,
Seita.1G086700,scaffold_1,7730181,7730940,K01602 - ribulose-bisphosphate carboxylase small chain (rbcS)  (1 of 6)
Seita.5G413500,scaffold_5,43685420,43688401,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 2)"
Seita.3G091600,scaffold_3,5968762,5970018,PTHR11362//PTHR11362:SF20 - PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G340900,scaffold_9,40094751,40100083,PTHR31942:SF8 - MLO-LIKE PROTEIN 5-RELATED (1 of 1)
Seita.2G345300,scaffold_2,42679329,42682858,
Seita.1G158300,scaffold_1,22029042,22048505,
Seita.3G236600,scaffold_3,19861462,19864786,
Seita.2G251200,scaffold_2,35367278,35374481,
Seita.3G062000,scaffold_3,3922345,3924764,PTHR33431:SF2 - GB (1 of 1)
Seita.8G070100,scaffold_8,7121791,7122365,
Seita.7G332200,scaffold_7,35753558,35757597,
Seita.2G251600,scaffold_2,35447802,35450287,PTHR10283//PTHR10283:SF101 - SOLUTE CARRIER FAMILY 13 MEMBER // SUBFAMILY NOT NAMED (1 of 3)
Seita.9G470200,scaffold_9,51277937,51287421,PTHR10390 - HOMEOBOX PROTEIN SIX (1 of 1)
Seita.2G108400,scaffold_2,10450761,10456536,"K15111 - solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26 (SLC25A26)  (1 of 3)"
Seita.6G177700,scaffold_6,30142152,30143123,PTHR26402//PTHR26402:SF615 - RESPONSE REGULATOR OF TWO-COMPONENT SYSTEM // SUBFAMILY NOT NAMED (1 of 6)
Seita.3G121500,scaffold_3,8177453,8190889,"K15192 - TATA-binding protein-associated factor [EC:3.6.4.-] (BTAF1, MOT1)  (1 of 1)"
Seita.3G186800,scaffold_3,14095701,14097505,
Seita.2G061400,scaffold_2,5120348,5122631,PTHR13168 - ASSOCIATE OF C-MYC  AMY-1 (1 of 1)
Seita.2G124200,scaffold_2,14097270,14101032,
Seita.1G189000,scaffold_1,27156253,27165193,PTHR23155//PTHR23155:SF638 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 3)
Seita.5G150200,scaffold_5,13412981,13414791,PTHR22835//PTHR22835:SF272 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)
Seita.5G287500,scaffold_5,34613437,34618359,PTHR11689:SF14 - CHLORIDE CHANNEL PROTEIN 2 (1 of 1)
Seita.5G399200,scaffold_5,42738566,42745404,PTHR23421//PTHR23421:SF77 - BETA-GALACTOSIDASE RELATED // SUBFAMILY NOT NAMED (1 of 4)
Seita.8G110400,scaffold_8,17671700,17677104,PTHR14208 - BASIC LEUCINE ZIPPER AND W2 DOMAIN-CONTAINING PROTEIN (1 of 1)
Seita.9G134800,scaffold_9,8540957,8541628,3.6.3.6 - Proton-exporting ATPase / Proton-translocating P-type ATPase (1 of 17)
Seita.9G264200,scaffold_9,22044037,22045316,PTHR11746//PTHR11746:SF86 - O-METHYLTRANSFERASE // SUBFAMILY NOT NAMED (1 of 9)
Seita.5G048600,scaffold_5,4385069,4387267,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1406)
Seita.3G038800,scaffold_3,2360891,2366762,PTHR10110//PTHR10110:SF116 - SODIUM/HYDROGEN EXCHANGER // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G087500,scaffold_9,5257690,5259798,
Seita.9G035800,scaffold_9,1961531,1966203,"K09284 - AP2-like factor, euAP2 lineage (AP2)  (1 of 5)"
Seita.6G162700,scaffold_6,28526708,28528913,PTHR10797//PTHR10797:SF15 - CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT // SUBFAMILY NOT NAMED (1 of 2)
Seita.2G422600,scaffold_2,47646021,47649013,
Seita.2G028000,scaffold_2,2297444,2305086,PTHR24356//PTHR24356:SF215 - SERINE/THREONINE-PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 2)
Seita.3G390300,scaffold_3,49156776,49160801,K14539 - large subunit GTPase 1 (LSG1)  (1 of 1)
Seita.1G164000,scaffold_1,23570998,23582125,PTHR22904//PTHR22904:SF337 - TPR REPEAT CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.6G247300,scaffold_6,35491213,35492553,PF07762 - Protein of unknown function (DUF1618) (DUF1618)  (1 of 123)
Seita.2G093800,scaffold_2,8462638,8464367,PTHR11926//PTHR11926:SF407 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED (1 of 2)
Seita.6G169700,scaffold_6,29330560,29331288,
Seita.4G140200,scaffold_4,16058682,16059351,
Seita.3G209000,scaffold_3,16415768,16416085,1.1.1.86 - Ketol-acid reductoisomerase (NADP(+)) / Dihydroxyisovalerate dehydrogenase (isomerizing) (1 of 3)
Seita.6G125900,scaffold_6,21545522,21557885,PTHR22807:SF34 - METHYLTRANSFERASE NSUN6-RELATED (1 of 1)
Seita.2G078600,scaffold_2,6624149,6625651,3.4.22.31 - Ananain (1 of 7)
Seita.4G027000,scaffold_4,1766059,1770895,
Seita.3G287400,scaffold_3,27242145,27246043,1.14.13.11 - Trans-cinnamate 4-monooxygenase / Cinnamic acid 4-monooxygenase (1 of 3)
Seita.4G201000,scaffold_4,31925836,31937803,
Seita.2G170900,scaffold_2,25537393,25537743,
Seita.6G003100,scaffold_6,230417,231199,PF05678 - VQ motif (VQ)  (1 of 40)
Seita.3G181500,scaffold_3,13695796,13697415,"K02913 - large subunit ribosomal protein L33 (RP-L33, MRPL33, rpmG)  (1 of 2)"
Seita.5G169300,scaffold_5,16969691,16974647,3.4.22.68 - Ulp1 peptidase / Ulp1 protease (1 of 52)
Seita.6G095900,scaffold_6,10066124,10067244,PTHR12411//PTHR12411:SF348 - CYSTEINE PROTEASE FAMILY C1-RELATED // SUBFAMILY NOT NAMED (1 of 11)
Seita.5G096000,scaffold_5,8114026,8116847,PF00564 - PB1 domain (PB1)  (1 of 32)
Seita.4G197000,scaffold_4,31551665,31555918,
Seita.5G281900,scaffold_5,34129933,34130058,PF08137 - DVL family (DVL)  (1 of 27)
Seita.8G031900,scaffold_8,2056063,2062533,PF00847 - AP2 domain (AP2)  (1 of 194)
Seita.7G329300,scaffold_7,35635761,35640191,
Seita.3G264800,scaffold_3,23269989,23273382,K03231 - elongation factor 1-alpha (EEF1A)  (1 of 9)
Seita.3G238500,scaffold_3,20169904,20174809,PTHR12321:SF55 - PHD FINGER PROTEIN ALFIN-LIKE 4 (1 of 2)
Seita.9G082800,scaffold_9,4925587,4928412,"K17607 - type 2A phosphatase activator TIP41 (TIPRL, TIP41)  (1 of 1)"
Seita.6G119000,scaffold_6,19987860,19989663,PF05212 - Protein of unknown function (DUF707) (DUF707)  (1 of 17)
Seita.7G298500,scaffold_7,33944656,33948526,PTHR16290:SF3 - MRNA-DECAPPING ENZYME-LIKE PROTEIN (1 of 1)
Seita.8G187600,scaffold_8,33399393,33407386,PTHR23155:SF402 - DISEASE RESISTANCE PROTEIN RPP13-RELATED (1 of 17)
Seita.9G401700,scaffold_9,46157750,46158154,PF05498 - Rapid ALkalinization Factor (RALF) (RALF)  (1 of 17)
Seita.9G367900,scaffold_9,42789174,42790566,1.14.11.32 - Codeine 3-O-demethylase / Codeine O-demethylase (1 of 8)
Seita.7G209300,scaffold_7,27998199,28001869,PTHR10811//PTHR10811:SF15 - FRINGE-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Seita.6G084700,scaffold_6,7498146,7501646,PF00069//PF08263//PF13855 - Protein kinase domain (Pkinase)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 58)
Seita.5G135500,scaffold_5,11825065,11828651,PTHR13697//PTHR13697:SF31 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.6G161500,scaffold_6,28430294,28432088,
Seita.1G064400,scaffold_1,6058780,6063641,PTHR11863//PTHR11863:SF39 - STEROL DESATURASE // SUBFAMILY NOT NAMED (1 of 2)
Seita.1G011400,scaffold_1,867534,869348,3.1.26.11 - Ribonuclease Z / tRNase Z (1 of 7)
Seita.5G190600,scaffold_5,24430046,24431809,
Seita.1G312900,scaffold_1,37412757,37413366,
Seita.1G316600,scaffold_1,37725413,37726662,
Seita.5G308500,scaffold_5,36134934,36137167,PTHR11926//PTHR11926:SF234 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED (1 of 6)
Seita.7G177100,scaffold_7,25660879,25664465,PF00083 - Sugar (and other) transporter (Sugar_tr)  (1 of 51)
Seita.3G387300,scaffold_3,48841444,48844711,1.13.11.19 - Cysteamine dioxygenase / Persulfurase (1 of 13)
Seita.9G051900,scaffold_9,2964560,2966124,
Seita.5G030000,scaffold_5,2879948,2881961,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 159)
Seita.1G031300,scaffold_1,2926435,2929621,PTHR11266:SF15 - PEROXISOMAL MEMBRANE PROTEIN PMP22 (1 of 2)
Seita.2G420700,scaffold_2,47527765,47529209,PTHR33790:SF1 - PROTEIN EARLY RESPONSIVE TO DEHYDRATION 15 (1 of 1)
Seita.7G285700,scaffold_7,33175606,33177672,
Seita.3G292400,scaffold_3,29228883,29231519,PF13041 - PPR repeat family (PPR_2)  (1 of 453)
Seita.J010800,scaffold_12,289671,290672,K03040 - DNA-directed RNA polymerase subunit alpha (rpoA)  (1 of 2)
Seita.5G464200,scaffold_5,46928454,46933578,PTHR22870//PTHR22870:SF199 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED (1 of 2)
Seita.J028800,scaffold_237,3653,5585,3.4.22.33 - Fruit bromelain (1 of 39)
Seita.9G323500,scaffold_9,37272887,37277545,K08343 - ubiquitin-like-conjugating enzyme ATG3 (ATG3)  (1 of 1)
Seita.7G076100,scaffold_7,17992990,17994713,PTHR24322:SF581 - 11-BETA-HYDROXYSTEROID DEHYDROGENASE-LIKE 2 (1 of 1)
Seita.9G356900,scaffold_9,41649763,41654181,PF00954//PF01453//PF07714//PF08276 - S-locus glycoprotein domain (S_locus_glycop)  // D-mannose binding lectin (B_lectin)  // Protein tyrosine kinase (Pkinase_Tyr)  // PAN-like domain (PAN_2)  (1 of 28)
Seita.7G116300,scaffold_7,21397204,21401365,"PTHR24089:SF269 - MITOCHONDRIAL PHOSPHATE CARRIER PROTEIN 3, MITOCHONDRIAL (1 of 1)"
Seita.3G257300,scaffold_3,22362344,22363745,
Seita.2G050900,scaffold_2,4097957,4103352,
Seita.2G256200,scaffold_2,35855793,35858837,PTHR10366//PTHR10366:SF342 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED (1 of 3)
Seita.7G015800,scaffold_7,2940074,2942262,PTHR23023:SF83 - INDOLE-3-PYRUVATE MONOOXYGENASE YUCCA5-RELATED (1 of 1)
Seita.9G298300,scaffold_9,34303445,34305792,PTHR31388:SF8 - PEROXIDASE 53-RELATED (1 of 4)
Seita.5G156800,scaffold_5,14289279,14294801,PTHR12357//PTHR12357:SF26 - YTH  YT521-B HOMOLOGY  DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 3)
Seita.3G355700,scaffold_3,45560155,45562131,PF07839 - Plant calmodulin-binding domain (CaM_binding)  (1 of 9)
Seita.1G267000,scaffold_1,33998478,34000013,PTHR22835//PTHR22835:SF253 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.1G348000,scaffold_1,40224648,40228162,"K17908 - autophagy-related protein 18 (WIPI, ATG18)  (1 of 1)"
Seita.3G373700,scaffold_3,47734302,47734676,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1406)
Seita.1G051000,scaffold_1,4950956,4955117,KOG0472 - Leucine-rich repeat protein (1 of 98)
Seita.8G144200,scaffold_8,27995226,28006305,PTHR12363:SF27 - EXPORTIN 1-LIKE PROTEIN DOMAIN-CONTAINING PROTEIN (1 of 1)
Seita.8G104900,scaffold_8,14185224,14186921,PTHR10579//PTHR10579:SF65 - CALCIUM-ACTIVATED CHLORIDE CHANNEL REGULATOR // SUBFAMILY NOT NAMED (1 of 3)
Seita.9G348900,scaffold_9,40892967,40898283,
Seita.6G033600,scaffold_6,2527145,2527971,PF12937 - F-box-like (F-box-like)  (1 of 123)
Seita.2G084300,scaffold_2,7387631,7393009,
Seita.4G168200,scaffold_4,26581401,26584004,PF01535//PF13041//PF13812//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 21)
Seita.5G102000,scaffold_5,8681638,8685711,PTHR13140 - MYOSIN (1 of 29)
Seita.7G314000,scaffold_7,34850856,34856861,PTHR12341//PTHR12341:SF39 - 5'->3' EXORIBONUCLEASE // SUBFAMILY NOT NAMED (1 of 2)
Seita.9G552800,scaffold_9,57025908,57028786,PTHR11465//PTHR11465:SF19 - CATALASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.2G109200,scaffold_2,10532181,10537771,PTHR21499//PTHR21499:SF32 - ASPARTATE KINASE // SUBFAMILY NOT NAMED (1 of 1)
